104.18.40.139:443#电信优选 | 43.99ms | 0.70mb/s
104.18.43.125:443#电信优选 | 44.34ms | 2.20mb/s
104.18.39.224:443#电信优选 | 44.35ms | 0.68mb/s
104.18.32.185:443#电信优选 | 44.55ms | 0.51mb/s
104.18.38.121:443#电信优选 | 44.71ms | 52.24mb/s
104.18.34.79:443#电信优选 | 45.30ms | 5.37mb/s
104.20.26.166:443#联通优选 | 64.18ms | 5.59mb/s
104.20.31.69:443#联通优选 | 65.32ms | 9.29mb/s
162.159.156.36:443#联通优选 | 65.58ms | 5.58mb/s
104.26.13.242:443#联通优选 | 65.77ms | 7.68mb/s
162.159.159.63:443#联通优选 | 66.04ms | 7.37mb/s
104.26.14.83:443#联通优选 | 66.12ms | 6.38mb/s
104.17.53.33:443#移动优选 | 90.20ms | 0.17mb/s
104.17.191.29:443#移动优选 | 95.00ms | 0.99mb/s
104.25.251.218:443#移动优选 | 95.91ms | 14.31mb/s
104.25.252.50:443#移动优选 | 96.02ms | 11.96mb/s
172.66.1.180:443#移动优选 | 96.32ms | 13.94mb/s
104.25.242.29:443#移动优选 | 96.87ms | 12.49mb/s
104.18.46.251:443#多线优选 | 69.12ms | 0.11mb/s
104.18.40.146:443#多线优选 | 69.22ms | 0.14mb/s
104.18.43.106:443#多线优选 | 70.76ms | 16.55mb/s
104.18.41.100:443#多线优选 | 72.06ms | 12.29mb/s
104.18.35.194:443#多线优选 | 72.35ms | 1.03mb/s
104.18.34.202:443#多线优选 | 72.96ms | 2.13mb/s
